agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
4,2.0,Agrees,https://www.allsides.com/news-source/scriberr-media-news-media-bias-0,center,2,Scriberr Media - News,6
1,0.3333333333333333,Strongly Disagrees,https://www.allsides.com/news-source/scriberr-media-opinioneditorial-media-bias,right-center,3,Scriberr Media - Opinion/Editorial,4
277,0.7959770114942529,Somewhat Disagrees,https://www.allsides.com/news-source/sf-weekly,center,348,SF Weekly,625
477,0.9190751445086706,Somewhat Disagrees,https://www.allsides.com/news-source/sf-gate,left-center,519,SFGate,996
152,1.0482758620689656,Somewhat Agrees,https://www.allsides.com/news-source/sky-hi-daily-news,left-center,145,Sky-Hi Daily News,297
5592,1.9518324607329842,Agrees,https://www.allsides.com/news-source/slate,left,2865,Slate,8457
178,0.7510548523206751,Somewhat Disagrees,https://www.allsides.com/news-source/smerconish-media-bias,center,237,Smerconish,415
698,0.515890613451589,Disagrees,https://www.allsides.com/news-source/snopes,center,1353,Snopes,2051
464,2.1382488479262673,Strongly Agrees,https://www.allsides.com/news-source/socialist-alternative,left,217,Socialist Alternative,681
410,2.1354166666666665,Strongly Agrees,https://www.allsides.com/news-source/socialist-projectthe-bullet,left,192,Socialist Project/The Bullet,602
22,1.1,Somewhat Agrees,https://www.allsides.com/news-source/spectator-usa-media-bias,right,20,Spectator USA,42
221,2.3020833333333335,Strongly Agrees,https://www.allsides.com/news-source/splinter-media-bias,left,96,Splinter,317
230,0.8424908424908425,Somewhat Disagrees,https://www.allsides.com/news-source/spokesman-review,left-center,273,Spokesman Review,503
191,0.7153558052434457,Somewhat Disagrees,https://www.allsides.com/news-source/state-journal,left-center,267,State Journal,458
84,1.1666666666666667,Somewhat Agrees,https://www.allsides.com/news-source/storycorps-media-bias,allsides,72,StoryCorps,156
98,1.6610169491525424,Agrees,https://www.allsides.com/news-source/subverse-media-bias,center,59,Subverse,157
161,0.8473684210526315,Somewhat Disagrees,https://www.allsides.com/news-source/suspend-belief-podcast,allsides,190,Suspend Belief Podcast,351
259,0.955719557195572,Somewhat Disagrees,https://www.allsides.com/news-source/tallahassee-democrat,center,271,Tallahassee Democrat,530
434,1.4812286689419796,Somewhat Agrees,https://www.allsides.com/news-source/techcrunch-media-bias,center,293,TechCrunch,727
354,0.6730038022813688,Somewhat Disagrees,https://www.allsides.com/news-source/teen-vogue,left-center,526,Teen Vogue,880
1,0.3333333333333333,Strongly Disagrees,https://www.allsides.com/news-source/advocate-media-bias,left-center,3,The Advocate,4
189,0.7974683544303798,Somewhat Disagrees,https://www.allsides.com/news-source/advocate-messenger,left-center,237,The Advocate-Messenger,426
244,0.9277566539923955,Somewhat Disagrees,https://www.allsides.com/news-source/american-conservative-media-bias,right-center,263,The American Conservative,507
5,0.8333333333333334,Somewhat Disagrees,https://www.allsides.com/news-source/american-mind-media-bias,right-center,6,The American Mind,11
9600,2.7195467422096318,Strongly Agrees,https://www.allsides.com/news-source/american-spectator,right,3530,The American Spectator,13130
55,1.2222222222222223,Somewhat Agrees,https://www.allsides.com/news-source/appeal-media-bias,center,45,The Appeal,100
8369,1.9476378868978357,Agrees,https://www.allsides.com/news-source/atlantic,left-center,4297,Atlantic,12666
1576,1.3288364249578415,Somewhat Agrees,https://www.allsides.com/news-source/boston-globe,left-center,1186,The Boston Globe,2762
183,0.9481865284974094,Somewhat Disagrees,https://www.allsides.com/news-source/cadiz-record,left-center,193,The Cadiz Record,376
178,1.2108843537414966,Somewhat Agrees,https://www.allsides.com/news-source/canyon-county-zephry,left,147,The Canyon County Zephyr,325
38,0.6129032258064516,Disagrees,https://www.allsides.com/news-source/center-square-michigan-media-bias,center,62,The Center Square - Michigan,100
208,1.2919254658385093,Somewhat Agrees,https://www.allsides.com/news-source/college-fix,right,161,The College Fix,369
170,0.7359307359307359,Somewhat Disagrees,https://www.allsides.com/news-source/commercial-appeal,left-center,231,The Commercial Appeal,401
165,0.6297709923664122,Disagrees,https://www.allsides.com/news-source/courier-journal,left-center,262,The Courier-Journal,427
6714,2.19268451992162,Strongly Agrees,https://www.allsides.com/news-source/daily-caller,right,3062,The Daily Caller,9776
72,1.0588235294117647,Somewhat Agrees,https://www.allsides.com/news-source/daily-dot-media-bias,left-center,68,The Daily Dot,140
1011,0.7879968823070927,Somewhat Disagrees,https://www.allsides.com/news-source/daily-show,left-center,1283,The Daily Show (humor),2294
392,2.45,Strongly Agrees,https://www.allsides.com/news-source/daily-signal,right,160,The Daily Signal,552
5370,2.4621733149931226,Strongly Agrees,https://www.allsides.com/news-source/daily-wire,right,2181,The Daily Wire,7551
174,1.3488372093023255,Somewhat Agrees,https://www.allsides.com/news-source/dallas-morning-news,center,129,The Dallas Morning News,303
201,0.8589743589743589,Somewhat Disagrees,https://www.allsides.com/news-source/delaware-county-daily-times,left-center,234,The Delaware County Daily Times,435
33,1.9411764705882353,Agrees,https://www.allsides.com/news-source/dispatch-media-bias,right-center,17,The Dispatch,50
2968,0.5352569882777277,Disagrees,https://www.allsides.com/news-source/economist,left-center,5545,The Economist,8513
5928,3.5348837209302326,Absolutely Agrees,https://www.allsides.com/news-source/epoch-times-media-bias,right,1677,The Epoch Times,7605
4734,2.673066064370412,Strongly Agrees,https://www.allsides.com/news-source/federalist,right,1771,The Federalist,6505
343,1.2992424242424243,Somewhat Agrees,https://www.allsides.com/news-source/flip-side-media-bias,allsides,264,The Flip Side,607
103,1.0618556701030928,Somewhat Agrees,https://www.allsides.com/news-source/fulcrum-media-bias,center,97,The Fulcrum,200
634,1.5095238095238095,Agrees,https://www.allsides.com/news-source/gateway-pundit,right,420,The Gateway Pundit,1054
70,1.044776119402985,Somewhat Agrees,https://www.allsides.com/news-source/globe-and-mail-media-bias,center,67,The Globe and Mail,137
8768,1.6336873486118875,Agrees,https://www.allsides.com/news-source/guardian,left-center,5367,Guardian,14135
10563,0.7945092139902219,Somewhat Disagrees,https://www.allsides.com/news-source/hill-media-bias,center,13295,The Hill,23858
47,1.0681818181818181,Somewhat Agrees,https://www.allsides.com/news-source/imaginative-conservative-media-bias,right,44,The Imaginative Conservative,91
268,1.2126696832579185,Somewhat Agrees,https://www.allsides.com/news-source/independent-0,left-center,221,The Independent,489
2711,2.755081300813008,Strongly Agrees,https://www.allsides.com/news-source/intercept,left,984,The Intercept,3695
195,1.0103626943005182,Somewhat Agrees,https://www.allsides.com/news-source/jerusalem-post-media-bias,center,193,The Jerusalem Post,388
2,2.0,Agrees,https://www.allsides.com/news-source/juggernaut-media-bias,left,1,The Juggernaut,2
138,0.8961038961038961,Somewhat Disagrees,https://www.allsides.com/news-source/justice,left-center,154,The Justice,292
0,0,Agrees,https://www.allsides.com/news-source/vox-news-media-bias,left,0,Vox,0
0,0,Agrees,https://www.allsides.com/news-source/washington-post-media-bias,left-center,0,Washington Post,0
0,0,Agrees,null,left,0,Talking Points Memo,0
